,Total_length,Mavlink_Count,Status
129,3307,31,0
130,3283,31,0
131,3640,34,0
132,3327,30,0
133,3364,32,0
134,3399,32,0
135,3380,32,0
136,3387,32,0
137,3222,30,0
138,3910,39,0
139,3306,31,0
140,3324,31,0
141,3231,30,0
142,3695,34,0
143,3362,32,0
144,3325,31,0
145,3186,30,0
146,3712,36,0
147,3286,31,0
148,3731,37,0
149,3308,31,0
150,3398,31,0
151,3308,31,0
152,3428,31,0
153,3479,33,0
154,3399,32,0
155,3380,31,0
156,3388,32,0
157,3221,30,0
158,3909,39,0
159,3308,31,0
160,3323,31,0
161,3307,31,0
162,3619,33,0
163,3363,32,0
164,3323,31,0
165,3380,32,0
166,3346,31,0
167,3208,30,0
168,3810,38,0
169,3422,32,0
170,3399,32,0
171,2946,27,0
172,3905,36,0
173,3363,32,0
174,3399,32,0
175,3380,32,0
176,3445,33,0
177,3221,30,0
178,3908,39,0
179,3307,31,0
180,3325,31,0
181,3306,31,0
182,3617,33,0
183,3365,32,0
184,3324,31,0
185,3378,32,0
186,3462,33,0
187,3286,31,0
188,3731,37,0
189,3308,31,0
190,3398,32,0
191,3308,31,0
192,3544,32,0
193,3364,32,0
194,3399,32,0
195,3380,32,0
196,3387,32,0
197,3029,28,0
198,3986,40,0
199,3423,32,0
200,3324,31,0
201,3308,31,0
202,3616,33,0
203,3285,31,0
204,3403,32,0
205,3185,30,0
206,3711,36,0
207,3286,31,0
208,3732,37,0
209,3307,31,0
210,3400,32,0
211,3308,31,0
212,3544,32,0
213,3363,32,0
214,3399,32,0
215,3380,32,0
216,3387,32,0
217,3221,30,0
218,3909,39,0
219,3308,31,0
220,3324,31,0
221,3307,31,0
222,3618,33,0
223,3362,32,0
224,3208,29,0
225,3496,33,0
226,3461,33,0
227,3284,31,0
228,3733,37,0
229,3230,30,0
230,3476,33,0
231,3309,31,0
232,3544,32,0
233,3364,32,0
234,3398,32,0
235,3380,32,0
236,3445,33,0
237,3221,30,0
238,3908,39,0
239,3308,31,0
240,3325,31,0
241,3307,30,0
242,3617,33,0
243,3364,32,0
244,3323,31,0
245,3379,32,0
246,3462,33,0
247,3285,30,0
248,3730,37,0
249,3231,30,0
250,3477,33,0
251,3307,31,0
252,3545,32,0
253,3364,32,0
254,3284,31,0
255,3416,32,0
256,3550,33,0
257,3222,30,0
258,3908,39,0
259,3307,31,0
260,3325,31,0
261,3308,31,0
262,3617,33,0
263,3363,32,0
264,3324,31,0
265,3301,31,0
266,3596,35,0
267,3286,31,0
268,3595,35,0
269,3443,33,0
270,3400,32,0
271,3308,31,0
272,3455,32,0
273,3364,32,0
274,3399,32,0
275,3380,32,0
276,3387,32,0
277,3222,30,0
278,3909,39,0
279,3307,31,0
280,3324,31,0
281,3308,31,0
282,3618,33,0
283,3363,32,0
284,3324,31,0
285,3379,32,0
286,3461,33,0
287,3285,31,0
288,3596,35,0
289,3443,33,0
290,3398,32,0
291,3309,31,0
292,3544,32,0
293,3363,32,0
294,3399,32,0
295,3380,32,0
296,3445,33,0
297,3143,29,0
298,3851,38,0
299,3366,32,0
300,3402,31,0
301,3307,31,0
302,3618,33,0
303,3364,32,0
304,3324,31,0
305,3379,32,0
306,3462,33,0
307,3285,31,0
308,3731,37,0
309,3308,31,0
310,3398,32,0
311,3307,31,0
312,3545,31,0
313,3364,32,0
314,3398,32,0
315,3380,32,0
316,3387,32,0
317,3222,30,0
318,3908,39,0
319,3308,31,0
320,3325,31,0
321,3307,31,0
322,3866,33,0
323,3364,32,0
324,3325,31,0
325,3379,32,0
326,3518,34,0
327,3208,30,0
328,3809,38,0
329,3307,31,0
330,3399,32,0
331,3308,31,0
332,3543,32,0
333,3364,32,0
334,3399,32,0
335,3380,32,0
336,3388,32,0
337,3222,30,0
338,3794,38,0
339,3422,32,0
340,3325,31,0
341,3308,31,0
342,3617,33,0
343,3363,32,0
344,3325,31,0
345,3380,32,0
346,3461,33,0
347,3285,31,0
348,3817,37,0
349,3306,31,0
350,3399,32,0
351,3308,31,0
352,3544,32,0
353,3363,32,0
354,3399,32,0
355,3380,32,0
356,3444,33,0
357,3222,30,0
358,3908,39,0
359,3308,31,0
360,3324,31,0
361,3308,31,0
362,3617,33,0
363,3363,32,0
364,3324,31,0
365,3380,32,0
366,3462,33,0
367,3285,31,0
368,3731,37,0
369,3309,31,0
370,3398,32,0
371,3307,31,0
372,3544,32,0
373,3363,32,0
374,3283,30,0
375,3495,33,0
376,3388,32,0
377,3222,30,0
378,3909,38,0
379,3306,31,0
380,3325,31,0
381,3307,31,0
382,3617,33,0
383,3363,32,0
384,3324,31,0
385,3379,32,0
386,3519,34,0
387,3286,31,0
388,3730,37,0
389,3308,31,0
390,3400,32,0
391,3307,31,0
392,3544,32,0
393,3364,32,0
394,3398,32,0
395,3379,32,0
396,3388,32,0
397,3221,30,0
398,3909,39,0
399,3308,31,0
400,3323,31,0
401,3308,31,0
402,3617,33,0
403,3364,32,0
404,3324,31,0
405,3379,32,0
406,3461,33,0
407,3287,31,0
408,3732,37,0
409,3306,31,0
410,3399,32,0
411,3309,31,0
412,3542,32,0
413,3363,32,0
414,3400,32,0
415,3379,32,0
416,3444,33,0
417,3222,30,0
418,3908,39,0
419,3308,31,0
420,3325,31,0
421,3306,31,0
422,3619,33,0
423,3363,32,0
424,3324,31,0
425,3380,32,0
426,3462,33,0
427,3285,30,0
428,3733,37,0
429,3308,31,0
430,3397,32,0
431,3308,31,0
432,3545,32,0
433,3362,32,0
434,3398,32,0
435,3381,32,0
436,3387,32,0
437,3221,30,0
438,3909,39,0
439,3307,30,0
440,3325,31,0
441,3308,31,0
442,3616,33,0
443,3364,32,0
444,3324,31,0
445,3379,32,0
446,3519,34,0
447,3286,31,0
448,3731,37,0
449,3309,31,0
450,3399,32,0
451,3306,30,0
452,3544,32,0
453,3365,32,0
454,3397,32,0
455,3379,32,0
456,3389,32,0
457,3221,30,0
458,3908,39,0
459,3308,31,0
460,3324,31,0
461,3115,29,0
462,3811,35,0
463,3362,32,0
464,3326,31,0
465,3379,31,0
466,3461,33,0
467,3286,31,0
468,3732,37,0
469,3306,31,0
470,3400,32,0
471,3308,31,0
472,3543,32,0
473,3363,32,0
474,3400,32,0
475,3378,31,0
476,3444,33,0
477,3223,30,0
478,3771,37,0
479,3307,31,0
480,3325,31,0
481,3307,31,0
482,3313,31,0
483,3606,33,0
484,3460,33,0
485,3381,32,0
486,3461,33,0
487,3285,31,0
488,663,5,0
489,3308,31,0
490,3397,32,0
491,3231,30,0
492,305,2,0
493,404,4,0
494,3398,32,0
495,3381,31,0
496,3386,32,0
497,3221,30,0
498,3774,37,0
499,3105,29,0
500,3324,31,0
501,3308,31,0
502,3476,32,0
503,3646,35,0
504,3325,31,0
505,3379,32,0
506,3520,34,0
507,3285,31,0
508,3663,36,0
509,3309,31,0
510,3399,32,0
511,3306,31,0
512,3240,30,0
513,3452,32,0
514,3398,32,0
515,3379,32,0
516,3389,32,0
517,3220,30,0
518,4004,39,0
519,3309,31,0
520,3323,31,0
521,3307,31,0
522,3618,33,0
523,3363,32,0
524,3325,31,0
525,3381,32,0
526,3461,33,0
527,3287,31,0
528,3731,37,0
529,3307,31,0
530,3400,32,0
531,3308,31,0
532,3542,32,0
533,3365,32,0
534,3398,32,0
535,3379,32,0
536,3444,33,0
537,3223,30,0
538,3907,39,0
539,3307,31,0
540,3326,31,0
541,3306,31,0
542,3617,33,0
543,3364,32,0
544,3324,31,0
545,3380,32,0
546,3462,33,0
547,3285,31,0
548,3733,37,0
549,3308,31,0
550,3398,32,0
551,3309,31,0
552,3456,32,0
553,3450,32,0
554,3399,32,0
555,3381,32,0
556,3387,32,0
557,3221,30,0
558,3909,39,0
559,3306,31,0
560,3324,31,0
561,3309,31,0
562,3616,33,0
563,3364,32,0
564,3326,31,0
565,3379,32,0
566,3519,34,0
567,3221,30,0
568,3795,38,0
569,3309,31,0
570,3398,32,0
571,3307,31,0
572,3545,32,0
573,3364,32,0
574,3397,32,0
575,3380,32,0
576,3674,33,0
577,2935,29,0
578,3908,39,0
579,3308,31,0
580,3324,31,0
581,3307,31,0
582,3531,33,0
583,3450,32,0
584,3325,31,0
585,3381,32,0
586,3461,33,0
587,3222,30,0
588,3796,38,0
589,3593,32,0
590,3114,31,0
591,3308,31,0
592,3455,32,0
593,3453,32,0
594,3399,31,0
595,3378,32,0
596,3445,33,0
597,3222,30,0
598,3908,39,0
599,3307,31,0
600,3611,32,0
601,3021,30,0
602,3815,34,0
603,3167,31,0
604,3323,31,0
605,3380,32,0
606,3462,33,0
607,3221,30,0
608,4082,39,0
609,3402,32,0
610,3017,30,0
611,3595,32,0
612,3332,31,0
613,3288,32,0
614,3686,33,0
615,3093,31,0
616,3386,32,0
617,3508,31,0
618,3909,39,0
619,3021,30,0
620,3324,31,0
621,3309,31,0
622,3529,33,0
623,3451,31,0
624,3368,31,0
625,3420,32,0
626,3519,34,0
627,3222,30,0
628,4081,39,0
629,3023,30,0
630,3399,32,0
631,3306,31,0
632,3457,32,0
633,3451,32,0
634,3684,33,0
635,3094,31,0
636,3387,32,0
637,3220,30,0
638,3909,39,0
639,3308,31,0
640,3324,31,0
641,3307,31,0
642,3694,33,0
643,3574,33,0
644,3038,30,0
645,3381,32,0
646,3461,33,0
647,3222,30,0
648,3796,38,0
649,3307,31,0
650,3400,32,0
651,3308,31,0
652,3237,30,0
653,4050,36,0
654,3018,30,0
655,3379,32,0
656,3445,33,0
657,3507,31,0
658,4001,40,0
659,2928,29,0
660,3611,32,0
661,3021,30,0
662,3312,31,0
663,4040,35,0
664,3038,30,0
665,3379,32,0
666,3463,33,0
667,3221,30,0
668,3796,38,0
669,3688,33,0
670,3398,32,0
671,2929,29,0
672,3239,30,0
673,3667,34,0
674,3400,32,0
675,3665,33,0
676,3481,33,0
677,2842,28,0
678,4194,40,0
679,3400,32,0
680,2945,29,0
681,3308,31,0
682,3598,32,0
683,3668,34,0
684,3040,30,0
685,3665,33,0
686,3612,35,0
687,2842,28,0
688,4081,39,0
689,3402,32,0
690,3019,30,0
691,3593,32,0
692,2954,29,0
693,3669,34,0
694,3397,32,0
695,3761,34,0
696,3007,30,0
697,3221,30,0
698,4195,40,0
699,3401,32,0
700,2944,29,0
701,3594,32,0
702,3027,30,0
703,3667,34,0
704,3704,33,0
705,3381,32,0
706,3367,32,0
707,3221,30,0
708,3797,38,0
709,3021,30,0
710,3779,34,0
711,3308,31,0
712,3238,30,0
713,3289,32,0
714,3399,32,0
715,3758,34,0
716,3066,31,0
717,3507,31,0
718,3908,39,0
719,3022,30,0
720,3610,32,0
721,3401,32,0
722,2933,29,0
723,3955,35,0
724,3323,31,0
725,3380,32,0
726,3177,32,0
727,3601,32,0
728,3415,36,0
729,3309,31,0
730,3398,32,0
731,3308,31,0
732,3239,30,0
733,3954,35,0
734,3494,33,0
735,3000,30,0
736,3672,33,0
737,3317,30,0
738,3528,37,0
739,3307,31,0
740,3325,30,0
741,3307,31,0
742,3312,31,0
743,3955,35,0
744,3419,32,0
745,2998,30,0
746,3518,34,0
747,3603,32,0
748,3415,36,0
749,3593,31,0
750,3494,33,0
751,2927,29,0
752,3619,32,0
753,3289,32,0
754,3398,32,0
755,3380,32,0
756,3768,34,0
757,3221,30,0
758,3530,37,0
759,3307,31,0
760,3704,33,0
761,2928,29,0
762,3692,33,0
763,3667,34,0
764,2945,29,0
765,3666,33,0
766,3175,32,0
767,3222,30,0
768,4176,40,0
769,2927,29,0
770,3684,33,0
771,3023,30,0
772,3617,32,0
773,3668,34,0
774,3019,30,0
775,3665,33,0
776,3159,32,0
777,3222,29,0
778,4288,41,0
779,3309,30,0
780,2944,29,0
781,3307,31,0
782,3693,33,0
783,3289,32,0
784,3609,32,0
785,3380,32,0
786,3556,34,0
787,3221,30,0
788,3795,38,0
789,2928,29,0
790,3398,32,0
791,3687,33,0
792,3240,30,0
793,3287,32,0
794,3684,33,0
795,3474,33,0
796,3387,32,0
797,2842,28,0
798,4195,40,0
799,3401,32,0
800,3232,30,0
801,3401,32,0
802,3312,31,0
803,3289,32,0
804,3325,31,0
805,3664,33,0
806,3520,34,0
807,3316,31,0
808,3795,38,0
809,2928,29,0
810,3685,33,0
811,3307,31,0
812,2952,29,0
813,3670,34,0
814,3777,34,0
815,3379,32,0
816,3294,30,0
817,2935,29,0
818,3909,39,0
819,3308,31,0
820,3324,31,0
821,3689,33,0
822,2932,29,0
823,3579,34,0
824,3794,33,0
825,3380,32,0
826,3080,31,0
827,3603,32,0
828,3796,38,0
829,2927,29,0
830,3779,34,0
831,2928,29,0
832,3238,30,0
833,3954,35,0
834,3494,33,0
835,2998,30,0
836,3444,33,0
837,3602,32,0
838,3528,37,0
839,3688,33,0
840,2945,29,0
841,3687,33,0
842,2934,29,0
843,3668,34,0
844,3703,33,0
845,3287,31,0
846,3176,32,0
847,3600,32,0
848,3417,36,0
849,3688,32,0
850,3398,32,0
851,2928,29,0
852,3525,31,0
853,3762,35,0
854,3018,30,0
855,3381,32,0
856,3766,34,0
857,3128,29,0
858,4003,40,0
859,3307,31,0
860,3325,31,0
861,3213,30,0
862,3312,31,0
863,3764,35,0
864,2944,29,0
865,3758,34,0
866,3520,34,0
867,2842,28,0
868,3794,38,0
869,3688,33,0
870,3400,32,0
871,2927,29,0
872,3239,30,0
873,4049,36,0
874,3398,32,0
875,2999,30,0
876,3769,33,0
877,2840,28,0
878,4289,41,0
879,3308,30,0
880,3230,30,0
881,3402,32,0
882,3312,30,0
883,3450,32,0
884,3449,32,0
885,3473,33,0
886,3460,33,0
887,3128,29,0
888,3754,37,0
889,3442,33,0
890,3399,32,0
891,3309,31,0
892,3237,29,0
893,3487,33,0
894,3581,33,0
895,3498,32,0
896,3387,32,0
897,2900,29,0
898,4151,39,0
899,3350,32,0
900,3325,31,0
901,3401,32,0
902,3314,31,0
903,3269,31,0
904,3342,32,0
905,3381,32,0
906,3841,35,0
907,3220,29,0
908,3796,38,0
909,3308,31,0
910,3397,32,0
911,3308,31,0
912,3240,30,0
913,3363,32,0
914,3704,34,0
915,3287,31,0
916,3481,33,0
917,3221,30,0
918,3910,39,0
919,3213,30,0
920,3419,32,0
921,3307,30,0
922,3312,31,0
923,3365,32,0
924,3629,33,0
925,3284,31,0
926,3557,34,0
927,3278,31,0
928,3701,37,0
929,3308,31,0
930,3493,33,0
931,2926,29,0
932,3525,31,0
933,3079,31,0
934,4082,35,0
935,3286,31,0
936,3482,33,0
937,3221,30,0
938,3814,38,0
939,3403,32,0
940,3324,30,0
941,3308,31,0
942,3311,30,0
943,2984,30,0
944,4011,35,0
945,3285,31,0
946,3554,34,0
947,3223,30,0
948,3795,38,0
949,3307,31,0
950,3399,32,0
951,3308,31,0
952,3237,30,0
953,3364,32,0
954,3704,34,0
955,3285,31,0
956,3482,33,0
957,3279,31,0
958,3909,39,0
959,3307,31,0
960,3326,31,0
961,3307,31,0
962,3562,31,0
963,3363,32,0
964,3630,33,0
965,3381,32,0
966,3081,31,0
967,3600,32,0
968,3796,38,0
969,3307,31,0
970,3398,32,0
971,3308,31,0
972,3239,30,0
973,3363,32,0
974,3704,34,0
975,3380,32,0
976,3387,32,0
977,3222,30,0
978,3909,39,0
979,3308,31,0
980,3324,31,0
981,3308,31,0
982,3313,31,0
983,3448,32,0
984,3628,33,0
985,3380,32,0
986,3463,33,0
987,3184,30,0
988,3753,37,0
989,3282,31,0
990,3561,34,0
991,3307,31,0
992,3239,30,0
993,3405,32,0
994,3703,34,0
995,3422,32,0
996,3388,32,0
997,3285,31,0
998,3845,38,0
999,3308,31,0
1000,3325,31,0
1001,3307,31,0
1002,3313,31,0
1003,3270,31,0
1004,3724,34,0
1005,3379,32,0
1006,3462,33,0
1007,3223,30,0
1008,3795,38,0
1009,3307,31,0
1010,3399,32,0
1011,3307,31,0
1012,3238,30,0
1013,3270,31,0
1014,3797,35,0
1015,3379,32,0
1016,3388,32,0
1017,3279,31,0
1018,3907,39,0
1019,3307,31,0
1020,3325,31,0
1021,3308,31,0
1022,3312,31,0
1023,3364,32,0
1024,3630,33,0
1025,3380,32,0
1026,3461,33,0
1027,3222,30,0
1028,3796,38,0
1029,3307,31,0
1030,3398,32,0
1031,3308,31,0
1032,3238,30,0
1033,3363,32,0
1034,3487,32,0
1035,3380,32,0
1036,3387,32,0
1037,3221,30,0
1038,3773,37,0
1039,3307,31,0
1040,3324,31,0
1041,3308,31,0
1042,3313,31,0
1043,3363,32,0
1044,3473,31,0
1045,3473,33,0
1046,3462,33,0
1047,3278,31,0
1048,3892,38,0
1049,3308,31,0
1050,3398,32,0
1051,3307,31,0
1052,3326,31,0
1053,3277,31,0
1054,3549,33,0
1055,3380,32,0
1056,3388,32,0
1057,3221,30,0
1058,4005,39,0
1059,3214,30,0
1060,3419,32,0
1061,3307,31,0
1062,3313,31,0
1063,3364,32,0
1064,3630,33,0
1065,3380,32,0
1066,3461,33,0
1067,3222,30,0
1068,3795,38,0
1069,3308,30,0
1070,3399,32,0
1071,3307,31,0
1072,3238,30,0
1073,3365,32,0
1074,3703,34,0
1075,3379,32,0
1076,3388,32,0
1077,3429,33,0
1078,3758,37,0
1079,3307,31,0
1080,3325,31,0
1081,3308,31,0
1082,3312,31,0
1083,3363,32,0
1084,3476,32,0
1085,3380,32,0
1086,3462,33,0
1087,3371,32,0
1088,3742,36,0
1089,3307,31,0
1090,3399,32,0
1091,3308,31,0
1092,3238,30,0
1093,3363,32,0
1094,3705,34,0
1095,3379,32,0
1096,3387,32,0
1097,3372,32,0
1098,3759,37,0
1099,3307,31,0
1100,3324,31,0
1101,3308,31,0
1102,3399,32,0
1103,3277,31,0
1104,3629,33,0
1105,3380,32,0
1106,3462,33,0
1107,3429,33,0
1108,3645,36,0
1109,3308,31,0
1110,3398,32,0
1111,3308,31,0
1112,3239,30,0
1113,3363,32,0
1114,3398,32,0
1115,3686,34,0
1116,3387,32,0
1117,3221,30,0
1118,3773,37,0
1119,3444,33,0
1120,3324,31,0
1121,3307,31,0
1122,3313,31,0
1123,3364,32,0
1124,3629,33,0
1125,3379,32,0
1126,3462,33,0
1127,3286,31,0
1128,3732,36,0
1129,3307,31,0
1130,3400,32,0
1131,3307,31,0
1132,3239,30,0
1133,3364,32,0
1134,3615,34,0
1135,3379,32,0
1136,3389,32,0
1137,3278,31,0
1138,3907,39,0
1139,3309,31,0
1140,3325,31,0
1141,3307,31,0
1142,3312,31,0
1143,3364,32,0
1144,3630,33,0
1145,3379,32,0
1146,3461,33,0
1147,3222,30,0
1148,3796,38,0
1149,3308,31,0
1150,3398,32,0
1151,3309,31,0
1152,3324,31,0
1153,3278,31,0
1154,3704,34,0
1155,3378,32,0
1156,3387,32,0
1157,3287,31,0
1158,3844,38,0
1159,3306,31,0
1160,3325,31,0
1161,3308,31,0
1162,3398,32,0
1163,3277,30,0
1164,3630,33,0
1165,3380,32,0
1166,3462,33,0
1167,3279,31,0
1168,3796,37,0
1169,3307,31,0
1170,3399,32,0
1171,3308,31,0
1172,3240,30,0
1173,3363,32,0
1174,3704,34,0
1175,3380,32,0
1176,3386,32,0
1177,3306,31,0
1178,3824,38,0
1179,3307,31,0
1180,3323,31,0
1181,3308,31,0
1182,3398,32,0
1183,3277,31,0
1184,3629,33,0
1185,3380,32,0
1186,3462,33,0
1187,3308,31,0
1188,3710,37,0
1189,3308,30,0
1190,3398,32,0
1191,3308,31,0
1192,3239,30,0
1193,3364,32,0
1194,3702,34,0
1195,3380,32,0
1196,3388,32,0
1197,3428,33,0
1198,3757,37,0
1199,3309,31,0
1200,3324,31,0
1201,3307,31,0
1202,3400,32,0
1203,3277,31,0
1204,3541,33,0
1205,3380,32,0
1206,3462,33,0
1207,3308,31,0
1208,3710,37,0
1209,3308,31,0
1210,3399,32,0
1211,3307,31,0
1212,3239,30,0
1213,3364,32,0
1214,3704,34,0
1215,3378,32,0
1216,3388,32,0
1217,3222,30,0
1218,3908,39,0
1219,3306,31,0
1220,3326,31,0
1221,3307,31,0
1222,3398,32,0
1223,3279,31,0
1224,3629,33,0
1225,3379,32,0
1226,3462,33,0
1227,3365,32,0
1228,3709,37,0
1229,3308,31,0
1230,3399,32,0
1231,3308,31,0
1232,3324,31,0
1233,3278,31,0
1234,3616,34,0
1235,3468,32,0
1236,3386,32,0
1237,3222,30,0
1238,3909,39,0
1239,3307,31,0
1240,3323,31,0
1241,3309,31,0
1242,3398,32,0
1243,3277,31,0
1244,3631,33,0
1245,3379,32,0
1246,3081,31,0
1247,3666,33,0
1248,3668,36,0
1249,3371,32,0
1250,3399,32,0
1251,3308,31,0
1252,3325,31,0
1253,3277,31,0
1254,3703,34,0
1255,3380,32,0
1256,3388,32,0
1257,3277,31,0
1258,3908,39,0
1259,3309,31,0
1260,3324,31,0
1261,3306,31,0
1262,3400,32,0
1263,3277,31,0
1264,3629,33,0
1265,3381,31,0
1266,3461,32,0
1267,3371,32,0
1268,3582,35,0
1269,3372,32,0
1270,3398,32,0
1271,3308,31,0
1272,3239,30,0
1273,3364,32,0
1274,3703,34,0
1275,3379,32,0
1276,3388,32,0
1277,3372,32,0
1278,3621,35,0
1279,3443,33,0
1280,3326,31,0
1281,3307,30,0
1282,3311,31,0
1283,3364,32,0
1284,3630,33,0
1285,3379,32,0
1286,3463,33,0
1287,3342,32,0
1288,3668,36,0
1289,3372,32,0
1290,3399,32,0
1291,3307,31,0
1292,3324,31,0
1293,3278,31,0
1294,3704,34,0
1295,3379,32,0
1296,3387,32,0
1297,3372,32,0
1298,3759,37,0
1299,3306,31,0
1300,3324,31,0
1301,3309,31,0
1302,3312,31,0
1303,3446,32,0
1304,3630,33,0
1305,3380,32,0
1306,3461,33,0
1307,3373,32,0
1308,3581,35,0
1309,3372,32,0
1310,3399,32,0
1311,3308,31,0
1312,3238,30,0
1313,3363,32,0
1314,3703,34,0
1315,3380,32,0
1316,3388,32,0
1317,3364,32,0
1318,3687,36,0
1319,3308,31,0
1320,3323,31,0
1321,3443,33,0
1322,3399,32,0
1323,3277,31,0
1324,3324,31,0
1325,3381,32,0
1326,3767,35,0
1327,3221,30,0
1328,3597,34,0
1329,3371,32,0
1330,3398,32,0
1331,3308,31,0
1332,3471,32,0
1333,3364,32,0
1334,3398,32,0
1335,3379,32,0
1336,3388,32,0
1337,3500,33,0
1338,3844,38,0
1339,3307,31,0
1340,3325,31,0
1341,3306,31,0
1342,3398,32,0
1343,3278,31,0
1344,3324,31,0
1345,3378,32,0
1346,3463,32,0
1347,3429,33,0
1348,3886,37,0
1349,3373,32,0
1350,3399,31,0
1351,3308,31,0
1352,3325,31,0
1353,3278,31,0
1354,3704,34,0
1355,3379,32,0
1356,3387,32,0
1357,3286,31,0
1358,3845,38,0
1359,3307,31,0
1360,3324,31,0
1361,3308,31,0
1362,3481,32,0
1363,3277,31,0
1364,3630,33,0
1365,3379,32,0
1366,3461,33,0
1367,3223,30,0
1368,3732,37,0
1369,3370,32,0
1370,3400,32,0
1371,3308,31,0
1372,3324,31,0
1373,3277,31,0
1374,3616,34,0
1375,3468,32,0
1376,3387,32,0
1377,3427,33,0
1378,3760,37,0
1379,3308,31,0
1380,3324,31,0
1381,3307,31,0
1382,3399,32,0
1383,3276,31,0
1384,3325,31,0
1385,3685,34,0
1386,3460,33,0
1387,3371,32,0
1388,3583,35,0
1389,3371,32,0
1390,3398,32,0
1391,3309,31,0
1392,3324,31,0
1393,3278,31,0
1394,3398,32,0
1395,3684,34,0
1396,3389,32,0
1397,3371,32,0
1398,3757,37,0
1399,3308,31,0
1400,3325,31,0
1401,3307,31,0
1402,3399,32,0
1403,3277,31,0
1404,2944,29,0
1405,4065,36,0
1406,3462,33,0
1407,3428,33,0
1408,3581,35,0
1409,3373,32,0
1410,3398,32,0
1411,3307,31,0
1412,3325,31,0
1413,3277,30,0
1414,3399,32,0
1415,3684,34,0
1416,3387,32,0
1417,3373,32,0
1418,3758,37,0
1419,3306,31,0
1420,3326,31,0
1421,3308,31,0
1422,3398,31,0
1423,3278,31,0
1424,3325,31,0
1425,3684,34,0
1426,3462,33,0
1427,3372,32,0
1428,3580,35,0
1429,3371,32,0
1430,3400,32,0
1431,3307,31,0
1432,3324,31,0
1433,3278,31,0
1434,3398,32,0
1435,3685,34,0
1436,3387,32,0
1437,3428,33,0
1438,3760,37,0
1439,3307,31,0
1440,3323,31,0
1441,3309,31,0
1442,3399,32,0
1443,3277,31,0
1444,3325,31,0
1445,3685,34,0
1446,3461,33,0
1447,3372,32,0
1448,3582,35,0
1449,3370,32,0
1450,3398,32,0
1451,3309,31,0
1452,3324,30,0
1453,3277,31,0
1454,3399,32,0
1455,3684,34,0
1456,3388,32,0
1457,3371,32,0
1458,3758,37,0
1459,3309,31,0
1460,3324,31,0
1461,3306,31,0
1462,3400,32,0
1463,3278,31,0
1464,3324,31,0
1465,3685,34,0
1466,3462,33,0
1467,3427,33,0
1468,3582,35,0
1469,3372,32,0
1470,3398,32,0
1471,3307,31,0
1472,3325,31,0
1473,3277,31,0
1474,3398,32,0
1475,3380,31,0
1476,3387,32,0
1477,3677,34,0
1478,3622,35,0
1479,3307,31,0
1480,3325,31,0
1481,3307,31,0
1482,3630,34,0
1483,3279,31,0
1484,3325,31,0
1485,3379,32,0
1486,3462,33,0
1487,3587,34,0
1488,3444,33,0
1489,3372,32,0
1490,3399,32,0
1491,3307,31,0
1492,3556,33,0
1493,3278,31,0
1494,3398,32,0
1495,3380,32,0
